,joblinks
34,https://de.linkedin.com/jobs/view/business-analyst-m-w-div-at-deutsche-rentenversicherung-bund-3723982648?refId=nxfrMGf5j28rWSxDewaFdg%3D%3D&trackingId=WDXuphuLUO8lyJt%2Fu374lg%3D%3D&position=10&pageNum=1&trk=public_jobs_jserp-result_search-card
35,https://de.linkedin.com/jobs/view/business-analyst-application-architect-m-w-d-at-airbus-3728336998?refId=nxfrMGf5j28rWSxDewaFdg%3D%3D&trackingId=pb0r5SoVXdpA5sxq1vXaeg%3D%3D&position=11&pageNum=1&trk=public_jobs_jserp-result_search-card
36,https://de.linkedin.com/jobs/view/business-analyst-at-amaris-consulting-3694876916?refId=nxfrMGf5j28rWSxDewaFdg%3D%3D&trackingId=9PnGeappW7h%2BGOn1YHNUtw%3D%3D&position=12&pageNum=1&trk=public_jobs_jserp-result_search-card
37,https://de.linkedin.com/jobs/view/business-analyst-accounting-at-avaloq-3709609985?refId=nxfrMGf5j28rWSxDewaFdg%3D%3D&trackingId=sBU5b1U01d8I3jyxyAWPKQ%3D%3D&position=13&pageNum=1&trk=public_jobs_jserp-result_search-card
38,https://de.linkedin.com/jobs/view/business-analyst-credit-at-avaloq-3709617062?refId=nxfrMGf5j28rWSxDewaFdg%3D%3D&trackingId=Aja4GvdiwDhtKsSC8FeWuQ%3D%3D&position=14&pageNum=1&trk=public_jobs_jserp-result_search-card
39,https://de.linkedin.com/jobs/view/duales-studium-bwl-versicherung-b-a-at-devk-versicherungen-3708928337?refId=nxfrMGf5j28rWSxDewaFdg%3D%3D&trackingId=%2FNs1vi0Ad5klIM8TyJXT%2Bw%3D%3D&position=15&pageNum=1&trk=public_jobs_jserp-result_search-card
40,https://de.linkedin.com/jobs/view/avaloq-business-analyst-acp-at-empiric-3725614265?refId=nxfrMGf5j28rWSxDewaFdg%3D%3D&trackingId=BXMjROhSuXMPPrGFNNhHKg%3D%3D&position=16&pageNum=1&trk=public_jobs_jserp-result_search-card
41,https://de.linkedin.com/jobs/view/business-analyst-dubai-uae-at-cobblestone-energy-3724275982?refId=nxfrMGf5j28rWSxDewaFdg%3D%3D&trackingId=76bvgFuQHEhW5nWZVm0eaw%3D%3D&position=17&pageNum=1&trk=public_jobs_jserp-result_search-card
42,https://de.linkedin.com/jobs/view/business-analyst-all-genders-digitalisierung-at-lufthansa-industry-solutions-3574420173?refId=nxfrMGf5j28rWSxDewaFdg%3D%3D&trackingId=ZmUlmucYTagOwaDWlFIAFg%3D%3D&position=18&pageNum=1&trk=public_jobs_jserp-result_search-card
43,https://de.linkedin.com/jobs/view/d365-f-o-business-analyst-scm-at-interex-group-3715616832?refId=nxfrMGf5j28rWSxDewaFdg%3D%3D&trackingId=QdpvBGOWZ64wZBvuaS5rTQ%3D%3D&position=19&pageNum=1&trk=public_jobs_jserp-result_search-card
44,https://de.linkedin.com/jobs/view/business-analysts-p-c-f-m-x-at-ibm-3697723136?refId=nxfrMGf5j28rWSxDewaFdg%3D%3D&trackingId=8sHc8XoOoiz1IHcCvu6M4g%3D%3D&position=20&pageNum=1&trk=public_jobs_jserp-result_search-card
45,https://de.linkedin.com/jobs/view/business-analyst-m-w-d-at-cbtw-3723930994?refId=nxfrMGf5j28rWSxDewaFdg%3D%3D&trackingId=B16wJPNHWZUJVw4AISUexw%3D%3D&position=21&pageNum=1&trk=public_jobs_jserp-result_search-card
46,https://de.linkedin.com/jobs/view/werkstudent-business-analysis-smart-automation-all-genders-at-mazars-in-germany-3720778775?refId=nxfrMGf5j28rWSxDewaFdg%3D%3D&trackingId=XBXJp4SzgSe4FmSAom0itA%3D%3D&position=22&pageNum=1&trk=public_jobs_jserp-result_search-card
47,https://de.linkedin.com/jobs/view/business-analyst-legal-reporting-germany-at-avaloq-3709617200?refId=nxfrMGf5j28rWSxDewaFdg%3D%3D&trackingId=w5XUXm8hDIYbhjz5g9j7qg%3D%3D&position=23&pageNum=1&trk=public_jobs_jserp-result_search-card
48,https://de.linkedin.com/jobs/view/business-analyst-m-w-d-at-cbtw-3725477595?refId=nxfrMGf5j28rWSxDewaFdg%3D%3D&trackingId=CkEoqnNK3YOcQ7jYz%2BlvkA%3D%3D&position=24&pageNum=1&trk=public_jobs_jserp-result_search-card
49,https://de.linkedin.com/jobs/view/business-analyst-value-added-services-m-w-d-at-verivox-gmbh-3724446127?refId=nxfrMGf5j28rWSxDewaFdg%3D%3D&trackingId=a7D6KSXIJVOjne4TchQpUA%3D%3D&position=25&pageNum=1&trk=public_jobs_jserp-result_search-card
50,https://de.linkedin.com/jobs/view/marketing-communications-analyst-m-w-d-at-bearingpoint-3721084597?refId=ko%2BRt%2FYNguBufpNU0ULuig%3D%3D&trackingId=h7kJDpBnQx%2B29hterVaN9A%3D%3D&position=1&pageNum=2&trk=public_jobs_jserp-result_search-card
